id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23939452,Casa Maria Helena - Bairro Alto,95823542,Marta,Lisboa,Misericrdia,38.71329,-9.14477,Entire home/apt,,3,122,2023-10-08,1.73,1,0,0,67224/AL
23940037,FRIENDLY room for two persons in SALDANHA,179983479,Pedro,Lisboa,Arroios,38.73323,-9.14147,Private room,39,1,46,2024-11-11,0.60,16,361,16,54
23940075,Mouraria Flat 2D,131226648,Maria,Lisboa,Santa Maria Maior,38.71691,-9.13283,Entire home/apt,80,2,173,2024-11-17,2.12,5,358,44,66209/AL
23942271,RENAISSANCE room in Center of Lisbon,179983479,Pedro,Lisboa,Arroios,38.73447,-9.14297,Private room,41,1,118,2024-10-26,1.45,16,362,14,63748/AL
23943283,Flowers Square House II,154344674,Anibal,Lisboa,Misericrdia,38.71451,-9.15193,Entire home/apt,,2,59,2019-11-06,0.72,6,0,0,66344/AL
23943471,Timeless apartment at the heart of the village II,104927297,Rita,Mafra,Ericeira,38.96318,-9.41738,Entire home/apt,170,2,62,2024-10-14,0.76,2,289,6,64258/AL
23950484,MAJESTIC room in Central Lisbon,179983479,Pedro,Lisboa,Arroios,38.73459,-9.14305,Private room,55,1,92,2024-10-05,1.13,16,365,15,25371/AL
23953391,Casa da Tapada,36601663,Luis,Sintra,Algueiro-Mem Martins,38.79488,-9.33123,Entire home/apt,,2,47,2023-07-31,0.58,2,0,0,67341/AL
23955567,Cozy - Ophelia River,22451823,Cristina,Lisboa,Santa Maria Maior,38.70958,-9.13131,Entire home/apt,125,3,268,2024-11-28,3.33,1,131,55,3162/AL
23955826,Studio L'Étoile,3753184,Isabel,Lisboa,Campo de Ourique,38.71565,-9.1546,Entire home/apt,69,3,388,2024-12-08,4.75,17,354,59,84580/AL
23956049,Farmer's House - near airport and metro,82359874,Sofia,Lisboa,Olivais,38.76706,-9.10623,Entire home/apt,91,4,37,2024-11-15,0.46,1,20,8,69697/AL
23534691,Da Silva Surfcamp - Terrassenzimmer mit Meerblick,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.2741,-9.3192,Entire home/apt,57,1,0,,,35,364,0,8651/AL
